"","year","mse","date","ccumCPUE.x","cum_RUN","ccpuef","pr","mid.run","est.total.run","remaining.run"
"47",2019,0.000335874021239232,"07/21",1894.78184668,3742157.447,3963.18018309917,1974.98063091376,"07/21",7827204.0984421,4085047
"27",1994,0.000426934594386574,"07/21",1894.78184668,3742157.447,3744.87071758785,1974.98063091376,"07/19",7396047.1325121,3653890
"18",1987,0.000592193839408567,"07/21",1894.78184668,3742157.447,3508.63872171299,1974.98063091376,"07/18",6929493.51625716,3187336
"58",2021,0.000286147045919957,"07/22",1962.514634,3917015.604,7488.05414574249,1995.91663478011,"07/29",14945531.8316216,11028516
"38",2006,0.000325675650077603,"07/22",1962.514634,3917015.604,4937.15481774075,1995.91663478011,"07/24",9854149.42921352,5937134
"48",2019,0.0004161733611175,"07/22",1962.514634,3917015.604,3906.39341219535,1995.91663478011,"07/21",7796835.59339614,3879820
"19",1994,0.000455582449924138,"07/22",1962.514634,3917015.604,3708.74608152544,1995.91663478011,"07/19",7402347.99829217,3485332
"28",2005,0.000624597009956483,"07/22",1962.514634,3917015.604,3938.70728173683,1995.91663478011,"07/21",7861331.38314809,3944316
"39",2006,0.000400213509886611,"07/23",2041.214634,4096774.387,4859.6525687516,2007.02773670199,"07/24",9753457.49621954,5656683
"59",2021,0.000446821114877774,"07/23",2041.214634,4096774.387,7243.28948933055,2007.02773670199,"07/29",14537482.9100484,10440709
"110",1994,0.000509487311307199,"07/23",2041.214634,4096774.387,3668.6792946338,2007.02773670199,"07/19",7363141.10139434,3266367
"49",2019,0.000530656865806988,"07/23",2041.214634,4096774.387,3847.04417894898,2007.02773670199,"07/21",7721124.37146853,3624350
"29",2005,0.000629724828007191,"07/23",2041.214634,4096774.387,3908.70475139638,2007.02773670199,"07/21",7844878.8506314,3748104
"410",2006,0.000542133668915401,"07/24",2083.514634,4206652.709,4768.82906993194,2019.01759668658,"07/24",9628349.80778308,5421697
"210",1994,0.00062515100249892,"07/24",2083.514634,4206652.709,3620.31979961242,2019.01759668658,"07/19",7309489.38105031,3102837
"111",1983,0.000642683548293687,"07/24",2083.514634,4206652.709,2582.26396416336,2019.01759668658,"07/15",5213636.38293547,1006984
"310",2005,0.000682497735197927,"07/24",2083.514634,4206652.709,3866.89517420341,2019.01759668658,"07/21",7807329.40125909,3600677
"510",2021,0.000692932416719287,"07/24",2083.514634,4206652.709,6987.03873897723,2019.01759668658,"07/29",14106954.1627258,9900301
"112",1983,0.000669578022579752,"07/25",2102.414634,4236258.826,2568.66470167743,2014.94926713871,"07/15",5175729.05817001,939470
"411",2014,0.000767952979791209,"07/25",2102.414634,4236258.826,2668.5856568233,2014.94926713871,"07/16",5377064.71351299,1140806
"311",2006,0.000785948945863358,"07/25",2102.414634,4236258.826,4666.32838636777,2014.94926713871,"07/24",9402414.9623403,5166156
"511",2016,0.0007862592304858,"07/25",2102.414634,4236258.826,2932.66574991763,2014.94926713871,"07/18",5909172.70355933,1672914
