"","date","year","mse","ccumCPUE.x","cum_RUN","ccpuef","pr","mid.run","est.total.run","remaining.run","ontime","timing","kenai.propleft","kasilof.propleft","acumRun_ke","remaining.ke","remaining.ka","run.ke"
"32",2022-07-19,2006,0.000280885949978332,1762.08801106,2680915,5088.82285626043,1521.44216586961,2022-07-24,7742349.66815564,5061435,2022-07-17,7,0.645251228561108,0.113654044963196,769320,3265897.15203219,575252.561068294,4035217.15203219
"33",2022-07-19,2019,0.000290351654193823,1762.08801106,2680915,4047.73356735643,1521.44216586961,2022-07-21,6158392.52558189,3477478,2022-07-17,4,0.645251228561108,0.113654044963196,769320,2243846.95179422,395229.440970525,3013166.95179422
"34",2022-07-19,1987,0.000395320625325918,1762.08801106,2680915,3630.51647126309,1521.44216586961,2022-07-18,5523620.84326381,2842706,2022-07-17,1,0.645251228561108,0.113654044963196,769320,1834259.53893803,323085.035541147,2603579.53893803
"35",2022-07-19,2007,0.000404911452604296,1762.08801106,2680915,3599.97351408009,1521.44216586961,2022-07-19,5477151.50033525,2796237,2022-07-17,2,0.645251228561108,0.113654044963196,769320,1804275.35959803,317803.645725752,2573595.35959803
"36",2022-07-20,2021,0.000110215922135328,1797.18801106,3302539,7938.65419958114,1837.61464002429,2022-07-29,14588187.1792407,11285648,2022-07-17,12,0.643137825332075,0.113347525892323,1145240,7258227.11218328,1279200.27889164,8403467.11218328
"37",2022-07-20,2006,0.000274930775629824,1797.18801106,3302539,5055.03327741107,1837.61464002429,2022-07-24,9289203.15638058,5986664,2022-07-17,7,0.643137825332075,0.113347525892323,1145240,3850250.06595382,678573.552748638,4995490.06595382
"38",2022-07-20,2019,0.000302613315713964,1797.18801106,3302539,4008.95135624557,1837.61464002429,2022-07-21,7366907.70338211,4064369,2022-07-17,4,0.643137825332075,0.113347525892323,1145240,2613949.4400071,460686.170463455,3759189.4400071
"39",2022-07-20,1994,0.00043072578808764,1797.18801106,3302539,3768.95094825352,1837.61464002429,2022-07-19,6925879.44004412,3623340,2022-07-17,2,0.643137825332075,0.113347525892323,1145240,2330307.00803872,410696.62446669,3475547.00803872
"40",2022-07-20,1987,0.00047984149691256,1797.18801106,3302539,3569.39848529175,1837.61464002429,2022-07-18,6559178.91265267,3256640,2022-07-17,1,0.643137825332075,0.113347525892323,1145240,2094468.36748945,369132.086721975,3239708.36748945
"41",2022-07-21,2021,0.000174253199572164,1894.78184668,3742157.447,7725.64697341189,1974.98063091376,2022-07-29,15258003.133766,11515846,2022-07-17,12,0.633912287455145,0.113071578876592,1414851,7300036.27984118,1302114.88931969,8714887.27984118
"42",2022-07-21,2006,0.000283357827947825,1894.78184668,3742157.447,5006.05298497106,1974.98063091376,2022-07-24,9886857.68264583,6144700,2022-07-17,7,0.633912287455145,0.113071578876592,1414851,3895200.83272563,694790.930722995,5310051.83272563
"43",2022-07-21,2019,0.000335874021239232,1894.78184668,3742157.447,3963.18018309917,1974.98063091376,2022-07-21,7827204.0984421,4085047,2022-07-17,4,0.633912287455145,0.113071578876592,1414851,2589561.48813178,461902.714075086,4004412.48813178
"44",2022-07-21,1994,0.000426934594386574,1894.78184668,3742157.447,3744.87071758785,1974.98063091376,2022-07-19,7396047.1325121,3653890,2022-07-17,2,0.633912287455145,0.113071578876592,1414851,2316245.76800948,413151.111341391,3731096.76800948
"45",2022-07-21,1987,0.000592193839408567,1894.78184668,3742157.447,3508.63872171299,1974.98063091376,2022-07-18,6929493.51625716,3187336,2022-07-17,1,0.633912287455145,0.113071578876592,1414851,2020491.45464813,360397.113930201,3435342.45464813
"46",2022-07-22,2021,0.000286147045919957,1962.514634,3917015.604,7488.05414574249,1995.91663478011,2022-07-29,14945531.8316216,11028516,2022-07-17,12,0.63695369833055,0.111727142731773,1571454,7024654.05329765,1232184.58125165,8596108.05329765
"47",2022-07-22,2006,0.000325675650077603,1962.514634,3917015.604,4937.15481774075,1995.91663478011,2022-07-24,9854149.42921352,5937134,2022-07-17,7,0.63695369833055,0.111727142731773,1571454,3781679.45878405,663339.017835664,5353133.45878405
"48",2022-07-22,2019,0.0004161733611175,1962.514634,3917015.604,3906.39341219535,1995.91663478011,2022-07-21,7796835.59339614,3879820,2022-07-17,4,0.63695369833055,0.111727142731773,1571454,2471265.69785684,433481.202913589,4042719.69785684
"49",2022-07-22,1994,0.000455582449924138,1962.514634,3917015.604,3708.74608152544,1995.91663478011,2022-07-19,7402347.99829217,3485332,2022-07-17,2,0.63695369833055,0.111727142731773,1571454,2219995.10730981,389406.185831617,3791449.10730981
"50",2022-07-22,2005,0.000624597009956483,1962.514634,3917015.604,3938.70728173683,1995.91663478011,2022-07-21,7861331.38314809,3944316,2022-07-17,4,0.63695369833055,0.111727142731773,1571454,2512346.66358436,440687.156711217,4083800.66358436
"51",2022-07-23,2006,0.000400213509886611,2041.214634,4096774.387,4859.6525687516,2007.02773670199,2022-07-24,9753457.49621954,5656683,2022-07-17,7,0.637818028917091,0.114322353313393,1697341,3607934.40126882,646685.312507863,5305275.40126882
